url,failure_reason,original_note_text,note_id
"https://x.com/i/status/2057380086781747459","our tags: mistral is bad at googling | X rater not-helpful tags: notHelpfulIncorrect:35, notHelpfulMissingKeyPoints:11, notHelpfulNoteNotNeeded:10, notHelpfulIrrelevantSources:9, notHelpfulSourcesMissingOrUnreliable:9","The most recent official estimate from the Office for National Statistics (ONS) shows net migration was 204,000 for the year ending June 2025. There is no official data reporting a figure of 171,000, and the ONS hasn't released figures for the full year ending December 2025. https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/longterminternationalmigrationprovisional/yearendingjune2025","2057393453206548653"
"https://x.com/i/status/2057628888272925085","our tags: note raters seem wrong | X rater not-helpful tags: notHelpfulOpinionSpeculation:29, notHelpfulIncorrect:16, notHelpfulSourcesMissingOrUnreliable:15, notHelpfulMissingKeyPoints:12, notHelpfulIrrelevantSources:12","The dark area on Vice Admiral Harward's neck is consistent with standard broadcast TV lighting. A fill light aimed upward at his face creates a shadow cast upward from his shirt collar — a common studio artifact, not a mask. https://www.newsx.com/world/robert-harward-viral-mask-claims-emerge-after-retired-vice-admiral-fox-news-appearance-223436/","2057670171804778513"
"https://x.com/i/status/2057261795601977520","X rater not-helpful tags: notHelpfulMissingKeyPoints:21, notHelpfulNoteNotNeeded:18, notHelpfulIncorrect:16, notHelpfulOther:7, notHelpfulArgumentativeOrBiased:4","Thomas Massie did not lose his 2024 primary. Official election results from the Kentucky Secretary of State show Massie won the Republican primary for the 4th District on May 21, 2024, receiving 75.9% of the vote. He remains the incumbent U.S. Representative. https://ballotpedia.org/Thomas_Massie https://massie.house.gov/","2057499885168132493"
"https://x.com/i/status/2057536960139247965","our tags: community note supports claim | X rater not-helpful tags: notHelpfulNoteNotNeeded:20, notHelpfulIncorrect:18, notHelpfulMissingKeyPoints:17, notHelpfulOpinionSpeculation:17, notHelpfulSourcesMissingOrUnreliable:15","The US military has killed ~194 people in strikes on boats since September 2025 (~9 months, not 5), in both the Caribbean and eastern Pacific. The US has not provided evidence victims were drug traffickers; some identified victims were fishermen with no known criminal ties. https://en.wikipedia.org/wiki/United_States_strikes_on_alleged_drug_traffickers_during_Operation_Southern_Spear https://www.theguardian.com/us-news/2026/may/15/us-military-airstrikes-caribbean-pacific-victim-identities","2057786600281845815"
"https://x.com/i/status/2060119662537404746","our tags: humorous tweet | X rater not-helpful tags: notHelpfulNoteNotNeeded:24, notHelpfulMissingKeyPoints:20, notHelpfulArgumentativeOrBiased:6, notHelpfulIrrelevantSources:4, notHelpfulOpinionSpeculation:4","The quote is fabricated. Talarico's real campaign mailer reads ""THE BIGGEST DIVIDE IN THIS COUNTRY IS NOT LEFT VS. RIGHT. IT'S TOP VS. BOTTOM"" — a reference to economic inequality, not sexual identity. The account's own bio labels it satire. https://x.com/USMinistryofTruth","2060185136713384094"
"https://x.com/i/status/2060080789547622591","our tags: did not engage with the argument; note gave minor/pedantic correction | X rater not-helpful tags: notHelpfulMissingKeyPoints:23, notHelpfulNoteNotNeeded:15, notHelpfulArgumentativeOrBiased:7, notHelpfulIrrelevantSources:5, notHelpfulOpinionSpeculation:5","The Xbox Series X price in this meme is incorrect. Microsoft's current U.S. price is $649.99, not $800. The other prices shown are approximately accurate following recent increases across the industry. https://www.thurrott.com/games/xbox/xbox-series-x/326918/microsoft-is-raising-xbox-console-prices-again-but-only-in-the-u-s","2060136855102754933"
"https://x.com/i/status/2057589163004932198","our tags: note raters seem wrong | X rater not-helpful tags: notHelpfulOpinionSpeculation:20, notHelpfulSourcesMissingOrUnreliable:13, notHelpfulIncorrect:12, notHelpfulIrrelevantSources:12, notHelpfulNoteNotNeeded:8","The visual anomaly is caused by studio lighting, shadows, and video compression artifacts from repeatedly re-shared clips. No credible evidence of a mask exists; Robert Harward is a verified retired U.S. Navy SEAL and real Fox News guest. https://news.meaww.com/fact-check-did-robert-harward-wear-a-mask-during-fox-news-appearance https://www.ibtimes.co.uk/fox-news-guest-mask-speculation-1798247","2057786594741072077"
"https://x.com/i/status/2058857721940652342","our tags: error in research | X rater not-helpful tags: notHelpfulIncorrect:17, notHelpfulMissingKeyPoints:16, notHelpfulNoteNotNeeded:10, notHelpfulIrrelevantSources:3, notHelpfulOpinionSpeculation:2","Nikita Bier’s post regarding the removal of an account from the creator program does not name Rainmaker1973. The provided data displays a list of different accounts, and Rainmaker1973 remains active on the platform. https://x.com/nikitabier/status/1794034874490331427","2058966185065288016"
"https://x.com/i/status/2057507743922098400","X rater not-helpful tags: notHelpfulIncorrect:15, notHelpfulOpinionSpeculation:13, notHelpfulSourcesMissingOrUnreliable:10, notHelpfulIrrelevantSources:9, notHelpfulMissingKeyPoints:8","The shadow on Harward's neck visible in this clip is a lighting artifact — identical claims about shadows indicating masks were rated ""Pants on Fire"" by PolitiFact in a 2020 Biden segment. TikTok re-encoding also creates sharp tonal edges at face/neck boundaries. https://www.politifact.com/factchecks/2020/oct/08/viral-image/viewers-mistake-shadow-bidens-neck-mask/ https://www.aiarty.com/knowledge-base/video-compression-artifacts.htm","2057579761669443836"
"https://x.com/i/status/2059294982092251540","our tags: did not engage with the argument | X rater not-helpful tags: notHelpfulNoteNotNeeded:13, notHelpfulMissingKeyPoints:11, notHelpfulOpinionSpeculation:7, notHelpfulArgumentativeOrBiased:7, notHelpfulOther:3","Pope Leo XIV's encyclical 'Magnifica Humanitas' (May 25, 2026) explicitly states he is not opposed to AI or technological progress. It calls for stronger regulation, transparency, and ethical oversight — not rejection of AI. https://time.com/article/2026/05/25/pope-leo-encyclical-ai-magnifica-humanitas/ https://www.pbs.org/newshour/world/pope-calls-for-robust-regulation-of-ai-in-manifesto-that-ponders-the-future-of-humanity","2059755975041597872"
