url,needs_note,baseline,fired,effect,reasoning
https://x.com/i/status/1996831133414363186,yes,nw_miss_judge_killed_good,false,not_satire,"The post presents a video of a judge in the Netherlands supposedly giving a migrant killer a lenient sentence, with the father throwing a chair. The video description and audio transcript are nonsensical (e.g., 'sub judice per data hecticus'), indicating fabrication. The author's profile ('Restore Britain') and the comments show the audience reacting with genuine outrage, not treating it as a joke. No signals of comedic intent (e.g., parody account, punchlines, audience laughter) are present. Therefore, the post is a false claim presented as real, not overt satire."
https://x.com/i/status/2007357044328976752,no,nnw_correct_judge_rejected,false,not_satire,"The post claims the US is bombing Caracas, Venezuela, presented as a factual statement with a video. The author is a political commentator, not a known comedian or parody account. The comments overwhelmingly treat the post as a real event—expressing shock, celebration, or political commentary—with no indication of recognizing it as satire or a joke. The video is low-quality and ambiguous, not clearly absurd or comedic. There is no audience laughter, punchline, or meme format that would make the comedic intent unmistakable. Therefore, this is not overt satire; it is a false claim presented as news."
https://x.com/i/status/2055719221812666428,yes,nw_published_bad,false,not_satire,"The post is a political meme with fabricated quotes attributed to Reagan and Churchill, shared by a political commentator with a MAGA/Christian bio. The comments engage with the content seriously—some agree, some disagree, and one explicitly calls out the quotes as fake. There is no comedic framing, audience laughter, or parody context. The author is not a known comedian or satire account. The post appears to be a sincere (though potentially misleading) political statement, not overt satire that the audience is clearly in on."
https://x.com/i/status/2020882885427994823,no,nnw_correct_judge_rejected,false,not_satire,"The post is not overt satire. It is a fabricated quote attributed to a real person (Erika Kirk) from a CBS News video, presented with clown emojis to mock her. The author, Jackson Hinkle, is a political activist known for spreading disinformation, not a comedian. The comments show a mix of reactions: some laugh, but many take the post seriously, either criticizing Israel or defending the woman. The post does not have the unmistakable markers of satire (e.g., stand-up clip, parody account, audience laughter). Instead, it misrepresents a real video to attack the subject, which is deceptive and not a clear joke that the audience is in on. When in doubt, is_satire=false."
https://x.com/i/status/2009219530300731596,yes,nw_published_bad,false,not_satire,"The post is a political claim by a Conservative MP, Claire Coutinho, citing statistics about the two-child benefit cap. It is presented as a serious factual assertion, not as a joke or parody. The attached media includes a reference to 'Numberwang' (a comedy sketch), but that appears to be a satirical comment on the statistics, not the post itself. The author's profile is a real politician, not a comedian. The comments are predominantly serious political debate, with no indication that the audience treats the post as overt satire. Therefore, the post is not unmistakably comedic or satirical."
https://x.com/i/status/2039118807692968130,yes,nw_miss_judge_killed_good,false,not_satire,"The post presents a fabricated claim about Ben Stiller turning on Zohran Mamdani, with no comedic framing, punchlines, or absurd hyperbole. The author is a political commentary account, not a known comedian or parody. The comments overwhelmingly call the post a lie, with users pointing out it's made up and that Ben Stiller never said this. The audience is not treating it as a joke but as a false statement. There is no unmistakable comedic intent; it is a deceptive claim imitating real news."
https://x.com/i/status/2052363800750305773,no,nnw_correct_judge_rejected,false,not_satire,"The post is a sincere tribute to David Attenborough on his 100th birthday, with factual biographical details and positive appreciation. The author profile (Anonymous) is not a known comedian or parody account, and there are no comedic framing, punchlines, or absurd hyperbole. The comments express admiration, gratitude, or minor factual corrections (e.g., birthday date), with only one critical comment but no widespread laughter or recognition of a joke. The media are respectful, high-quality portrait photos. There is no indication that the audience is 'in on' a joke or that the post is intended as satire, parody, or comedy."
https://x.com/i/status/2047978936311918600,yes,nw_miss_judge_killed_good,false,not_satire,"The post presents a video of ships discharging dark liquids into the ocean with the caption 'The sewage treatment system of cruise ships is amazing!' While the caption could be interpreted as sarcastic, the post lacks unmistakable comedic framing: the author is not a known comedian or parody account, the video is presented as a factual news item, and the comments primarily express skepticism (calling it AI-generated or exaggerated) rather than treating it as an obvious joke. Some replies engage seriously with the environmental issue. The comedic intent is not overt or universally recognized by the audience, so it does not meet the criteria for clear satire."
https://x.com/i/status/2016176528531267592,no,nnw_correct_judge_rejected,false,not_satire,"The original post is from the official U.S. ICE account, a government agency. The account is not a comedian or parody; it is a real institution. The post appears to be a serious enforcement notice, listing arrests and claiming to show 'the worst of the worst.' The comments are split: some users express support ('Thank you ICE'), while others mock or attack the post by comparing the listed individuals to Donald Trump or criticizing ICE violence. This indicates the post is controversial but not obviously satirical. The presence of a few joke-like comments does not change the fact that the post itself is a sincere, factual claim made by an official source. There is no self-evident absurd hyperbole, meme format, or audience laughter indicating comedy. Therefore, this is not satire."
https://x.com/i/status/2038670145497764304,yes,nw_success,false,not_satire,"The post presents images of Donald Trump with Jeffrey Epstein and young girls, with the caption 'These images are verified and in the Epstein files.' This is presented as factual evidence. However, multiple comments point out that the images are not verified—one reply links to a Snopes fact-check that debunks the claim. The author's bio is 'Truth over comfort,' which suggests an activist or conspiracy-oriented account, not a comedy account. The comments include both corrections (e.g., 'No they are not verified,' 'Even the woke Snoops had to admit it's fake 🤡') and some dismissive reactions ('Bruh delete account'), but no laughter or signs of comedic framing. The post's tone is accusatory and serious ('All these disgusting boils on the butt of humanity need to be in prison'), not jocular. Therefore, the post is not overt satire; it is a sincere (though possibly false) claim. The absence of any self-evident absurdity, punchline, or parody format confirms this."
